Master Log Started at Fri Aug 29 23:49:26 PDT 2025

===============================================
Starting cs336 a1 train at Fri Aug 29 23:49:26 PDT 2025
===============================================
+ uv run python cs336_basics/train.py --name train_2
wandb: Currently logged in as: desaix (cvc_lab) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.21.0
wandb: Run data is saved locally in /Users/desaixie/code/cs336/assignment1-basics/wandb/run-20250829_234928-fcdblo6o
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run train_2
wandb: ⭐️ View project at https://wandb.ai/cvc_lab/cs336_a1
wandb: 🚀 View run at https://wandb.ai/cvc_lab/cs336_a1/runs/fcdblo6o
INFO - Loading tokenizer from files: tinystories_vocab.pkl and tinystories_merges.pkl
INFO - Initialized Tokenizer with max_workers=4
INFO - Loaded vocabulary size: 10000
INFO - Loaded special tokens count: 1
INFO - Successfully loaded tokenizer with vocabulary size: 10000
time: 20250829_234928
args: Namespace(d_model=512, num_heads=16, d_ff=1344, vocab_size=10000, context_length=256, num_layers=4, theta=10000.0, device=device(type='mps'), model_dtype=torch.float32, lrmax=0.0001, lrmin=0.0001, beta1=0.9, beta2=0.999, eps=1e-08, weight_decay=0.01, num_warmup=100, num_cosine=5000, max_grad_norm=1.0, train_path='data/TinyStoriesV2-GPT4-train.txt', valid_path='data/TinyStoriesV2-GPT4-valid.txt', vocab_path='tinystories_vocab.pkl', merges_path='tinystories_merges.pkl', special_tokens=['<|endoftext|>'], pretokens_train_path='data/openweb-train-tokenized.npy', pretokens_valid_path='data/openweb-valid-tokenized.npy', reuse_pretokens=True, use_memmap=True, use_parallel_pretokenize=True, num_workers=0, batch_size=32, train_steps=5000, val_every_step=10, log_every_step=10, save_every_step=50, resume_path='', name='train_2', save_dir='logs/')

Converting IDs to tokens:   0%|          | 0/229 [00:00<?, ?it/s]
Converting IDs to tokens: 100%|██████████| 229/229 [00:00<00:00, 970197.59it/s]
Baseball Prospectus director of technology Harry Pavlidis took a risk when he hired Jonathan Judge.Pavlidis knew that, as Alan Schwarz wrote in The Numbers Game, “no corner of American culture is more precisely counted, more passionately quantified, than performances of baseball players.” With a few clicks here and there, you can findout that Noah Syndergaard’s fastball revolves more than 2,100 times per minute on its way to the plate, that Nelson Cruz had the game’s highest average exit velocity among qualified hitters in 2016 and myriad other tidbits that seem ripped from a video game or science fiction novel. The rising ocean of data has empowered an increasingly important actor in baseball’s culture: the analytical hobbyist.
Reusing existing pretokenized training data from: data/openweb-train-tokenized.npy
Reusing existing pretokenized validation data from: data/openweb-valid-tokenized.npy
Loading data using memory mapping...
Loading data from data/openweb-train-tokenized.npy using memory mapping...
Loading data from data/openweb-valid-tokenized.npy using memory mapping...
building model
d_ffn: 1344
d_ffn: 1344
d_ffn: 1344
d_ffn: 1344
building optimizer
creating dataloader

Steps:   0%|          | 0/5000 [00:00<?, ?it/s]
Steps:   0%|          | 0/5000 [00:03<?, ?it/s, loss=9.26, global_step=0, grad_norm=5.06, lr=0, val_loss=9.28, val_perpl=1.07e+4]
Steps:   0%|          | 1/5000 [00:03<5:31:39,  3.98s/it, loss=9.26, global_step=0, grad_norm=5.06, lr=0, val_loss=9.28, val_perpl=1.07e+4]
Steps:   0%|          | 1/5000 [00:05<5:31:39,  3.98s/it, loss=9.33, global_step=1, grad_norm=6.39, lr=0]                                  
Steps:   0%|          | 2/5000 [00:05<3:17:19,  2.37s/it, loss=9.33, global_step=1, grad_norm=6.39, lr=0]
Steps:   0%|          | 2/5000 [00:06<3:17:19,  2.37s/it, loss=9.28, global_step=2, grad_norm=4.94, lr=1e-6]
Steps:   0%|          | 3/5000 [00:06<2:33:36,  1.84s/it, loss=9.28, global_step=2, grad_norm=4.94, lr=1e-6]
Steps:   0%|          | 3/5000 [00:07<2:33:36,  1.84s/it, loss=9.29, global_step=3, grad_norm=5.03, lr=2e-6]
Steps:   0%|          | 4/5000 [00:07<2:05:18,  1.50s/it, loss=9.29, global_step=3, grad_norm=5.03, lr=2e-6]
Steps:   0%|          | 4/5000 [00:08<2:05:18,  1.50s/it, loss=9.34, global_step=4, grad_norm=5.25, lr=3e-6]
Steps:   0%|          | 5/5000 [00:08<1:47:33,  1.29s/it, loss=9.34, global_step=4, grad_norm=5.25, lr=3e-6]
Steps:   0%|          | 5/5000 [00:09<1:47:33,  1.29s/it, loss=9.2, global_step=5, grad_norm=5.54, lr=4e-6] 
Steps:   0%|          | 6/5000 [00:09<1:37:25,  1.17s/it, loss=9.2, global_step=5, grad_norm=5.54, lr=4e-6]
Steps:   0%|          | 6/5000 [00:10<1:37:25,  1.17s/it, loss=9.31, global_step=6, grad_norm=5.57, lr=5e-6]
Steps:   0%|          | 7/5000 [00:10<1:30:47,  1.09s/it, loss=9.31, global_step=6, grad_norm=5.57, lr=5e-6]
Steps:   0%|          | 7/5000 [00:11<1:30:47,  1.09s/it, loss=9.23, global_step=7, grad_norm=5.66, lr=6e-6]
Steps:   0%|          | 8/5000 [00:11<1:24:52,  1.02s/it, loss=9.23, global_step=7, grad_norm=5.66, lr=6e-6]
Steps:   0%|          | 8/5000 [00:11<1:24:52,  1.02s/it, loss=9.3, global_step=8, grad_norm=5.86, lr=7e-6] 
Steps:   0%|          | 9/5000 [00:11<1:21:39,  1.02it/s, loss=9.3, global_step=8, grad_norm=5.86, lr=7e-6]
Steps:   0%|          | 9/5000 [00:12<1:21:39,  1.02it/s, loss=9.28, global_step=9, grad_norm=6.76, lr=8e-6]
Steps:   0%|          | 10/5000 [00:12<1:18:46,  1.06it/s, loss=9.28, global_step=9, grad_norm=6.76, lr=8e-6]
Steps:   0%|          | 10/5000 [00:14<1:18:46,  1.06it/s, loss=9.3, global_step=10, grad_norm=5.59, lr=9e-6, val_loss=9.26, val_perpl=1.05e+4]
Steps:   0%|          | 11/5000 [00:14<1:24:43,  1.02s/it, loss=9.3, global_step=10, grad_norm=5.59, lr=9e-6, val_loss=9.26, val_perpl=1.05e+4]
Steps:   0%|          | 11/5000 [00:14<1:24:43,  1.02s/it, loss=9.15, global_step=11, grad_norm=5.91, lr=1e-5]                                 
Steps:   0%|          | 12/5000 [00:14<1:22:49,  1.00it/s, loss=9.15, global_step=11, grad_norm=5.91, lr=1e-5]
Steps:   0%|          | 12/5000 [00:15<1:22:49,  1.00it/s, loss=9.18, global_step=12, grad_norm=5.46, lr=1.1e-5]
Steps:   0%|          | 13/5000 [00:15<1:21:05,  1.03it/s, loss=9.18, global_step=12, grad_norm=5.46, lr=1.1e-5]
Steps:   0%|          | 13/5000 [00:16<1:21:05,  1.03it/s, loss=9.11, global_step=13, grad_norm=6.04, lr=1.2e-5]
Steps:   0%|          | 14/5000 [00:16<1:19:08,  1.05it/s, loss=9.11, global_step=13, grad_norm=6.04, lr=1.2e-5]
Steps:   0%|          | 14/5000 [00:17<1:19:08,  1.05it/s, loss=9.11, global_step=14, grad_norm=6.58, lr=1.3e-5]
Steps:   0%|          | 15/5000 [00:17<1:17:35,  1.07it/s, loss=9.11, global_step=14, grad_norm=6.58, lr=1.3e-5]
Steps:   0%|          | 15/5000 [00:18<1:17:35,  1.07it/s, loss=9.14, global_step=15, grad_norm=5.36, lr=1.4e-5]
Steps:   0%|          | 16/5000 [00:18<1:15:43,  1.10it/s, loss=9.14, global_step=15, grad_norm=5.36, lr=1.4e-5]
Steps:   0%|          | 16/5000 [00:19<1:15:43,  1.10it/s, loss=9.07, global_step=16, grad_norm=5.17, lr=1.5e-5]
Steps:   0%|          | 17/5000 [00:19<1:14:17,  1.12it/s, loss=9.07, global_step=16, grad_norm=5.17, lr=1.5e-5]
Steps:   0%|          | 17/5000 [00:20<1:14:17,  1.12it/s, loss=8.95, global_step=17, grad_norm=5.24, lr=1.6e-5]
Steps:   0%|          | 18/5000 [00:20<1:13:33,  1.13it/s, loss=8.95, global_step=17, grad_norm=5.24, lr=1.6e-5]
Steps:   0%|          | 18/5000 [00:21<1:13:33,  1.13it/s, loss=8.95, global_step=18, grad_norm=5.41, lr=1.7e-5]
Steps:   0%|          | 19/5000 [00:21<1:13:06,  1.14it/s, loss=8.95, global_step=18, grad_norm=5.41, lr=1.7e-5]
Steps:   0%|          | 19/5000 [00:21<1:13:06,  1.14it/s, loss=8.94, global_step=19, grad_norm=4.88, lr=1.8e-5]
Steps:   0%|          | 20/5000 [00:21<1:12:30,  1.14it/s, loss=8.94, global_step=19, grad_norm=4.88, lr=1.8e-5]
Steps:   0%|          | 20/5000 [00:23<1:12:30,  1.14it/s, loss=9.02, global_step=20, grad_norm=4.8, lr=1.9e-5, val_loss=8.93, val_perpl=7.58e+3]
Steps:   0%|          | 21/5000 [00:23<1:19:15,  1.05it/s, loss=9.02, global_step=20, grad_norm=4.8, lr=1.9e-5, val_loss=8.93, val_perpl=7.58e+3]
Steps:   0%|          | 21/5000 [00:23<1:19:15,  1.05it/s, loss=8.85, global_step=21, grad_norm=5.3, lr=2e-5]                                    
Steps:   0%|          | 22/5000 [00:23<1:16:45,  1.08it/s, loss=8.85, global_step=21, grad_norm=5.3, lr=2e-5]
Steps:   0%|          | 22/5000 [00:24<1:16:45,  1.08it/s, loss=8.87, global_step=22, grad_norm=5.13, lr=2.1e-5]
Steps:   0%|          | 23/5000 [00:24<1:16:41,  1.08it/s, loss=8.87, global_step=22, grad_norm=5.13, lr=2.1e-5]
Steps:   0%|          | 23/5000 [00:25<1:16:41,  1.08it/s, loss=8.7, global_step=23, grad_norm=5.85, lr=2.2e-5] 
Steps:   0%|          | 24/5000 [00:25<1:15:20,  1.10it/s, loss=8.7, global_step=23, grad_norm=5.85, lr=2.2e-5]
Steps:   0%|          | 24/5000 [00:26<1:15:20,  1.10it/s, loss=8.52, global_step=24, grad_norm=6.61, lr=2.3e-5]
Steps:   0%|          | 25/5000 [00:26<1:14:48,  1.11it/s, loss=8.52, global_step=24, grad_norm=6.61, lr=2.3e-5]
Steps:   0%|          | 25/5000 [00:27<1:14:48,  1.11it/s, loss=8.65, global_step=25, grad_norm=5.86, lr=2.4e-5]
Steps:   1%|          | 26/5000 [00:27<1:13:40,  1.13it/s, loss=8.65, global_step=25, grad_norm=5.86, lr=2.4e-5]
Steps:   1%|          | 26/5000 [00:28<1:13:40,  1.13it/s, loss=8.6, global_step=26, grad_norm=5.92, lr=2.5e-5] 
Steps:   1%|          | 27/5000 [00:28<1:13:02,  1.13it/s, loss=8.6, global_step=26, grad_norm=5.92, lr=2.5e-5]
Steps:   1%|          | 27/5000 [00:29<1:13:02,  1.13it/s, loss=8.62, global_step=27, grad_norm=5.32, lr=2.6e-5]
Steps:   1%|          | 28/5000 [00:29<1:12:32,  1.14it/s, loss=8.62, global_step=27, grad_norm=5.32, lr=2.6e-5]
Steps:   1%|          | 28/5000 [00:30<1:12:32,  1.14it/s, loss=8.58, global_step=28, grad_norm=5.12, lr=2.7e-5]
Steps:   1%|          | 29/5000 [00:30<1:12:33,  1.14it/s, loss=8.58, global_step=28, grad_norm=5.12, lr=2.7e-5]
Steps:   1%|          | 29/5000 [00:30<1:12:33,  1.14it/s, loss=8.45, global_step=29, grad_norm=5.53, lr=2.8e-5]
Steps:   1%|          | 30/5000 [00:30<1:12:19,  1.15it/s, loss=8.45, global_step=29, grad_norm=5.53, lr=2.8e-5]
Steps:   1%|          | 30/5000 [00:32<1:12:19,  1.15it/s, loss=8.61, global_step=30, grad_norm=4.82, lr=2.9e-5, val_loss=8.27, val_perpl=3.9e+3]
Steps:   1%|          | 31/5000 [00:32<1:18:52,  1.05it/s, loss=8.61, global_step=30, grad_norm=4.82, lr=2.9e-5, val_loss=8.27, val_perpl=3.9e+3]
Steps:   1%|          | 31/5000 [00:32<1:18:52,  1.05it/s, loss=8.4, global_step=31, grad_norm=5.53, lr=3e-5]                                    
Steps:   1%|          | 32/5000 [00:32<1:16:35,  1.08it/s, loss=8.4, global_step=31, grad_norm=5.53, lr=3e-5]
Steps:   1%|          | 32/5000 [00:33<1:16:35,  1.08it/s, loss=8.54, global_step=32, grad_norm=5.26, lr=3.1e-5]
Steps:   1%|          | 33/5000 [00:33<1:14:51,  1.11it/s, loss=8.54, global_step=32, grad_norm=5.26, lr=3.1e-5]
Steps:   1%|          | 33/5000 [00:34<1:14:51,  1.11it/s, loss=8.17, global_step=33, grad_norm=5.73, lr=3.2e-5]
Steps:   1%|          | 34/5000 [00:34<1:13:38,  1.12it/s, loss=8.17, global_step=33, grad_norm=5.73, lr=3.2e-5]
Steps:   1%|          | 34/5000 [00:35<1:13:38,  1.12it/s, loss=8.35, global_step=34, grad_norm=5.28, lr=3.3e-5]
Steps:   1%|          | 35/5000 [00:35<1:13:43,  1.12it/s, loss=8.35, global_step=34, grad_norm=5.28, lr=3.3e-5]
Steps:   1%|          | 35/5000 [00:36<1:13:43,  1.12it/s, loss=8.12, global_step=35, grad_norm=5.52, lr=3.4e-5]
Steps:   1%|          | 36/5000 [00:36<1:13:54,  1.12it/s, loss=8.12, global_step=35, grad_norm=5.52, lr=3.4e-5]
Steps:   1%|          | 36/5000 [00:37<1:13:54,  1.12it/s, loss=8.26, global_step=36, grad_norm=5.37, lr=3.5e-5]
Steps:   1%|          | 37/5000 [00:37<1:14:30,  1.11it/s, loss=8.26, global_step=36, grad_norm=5.37, lr=3.5e-5]
Steps:   1%|          | 37/5000 [00:38<1:14:30,  1.11it/s, loss=8.01, global_step=37, grad_norm=5.44, lr=3.6e-5]
Steps:   1%|          | 38/5000 [00:38<1:14:09,  1.12it/s, loss=8.01, global_step=37, grad_norm=5.44, lr=3.6e-5]
Steps:   1%|          | 38/5000 [00:39<1:14:09,  1.12it/s, loss=7.98, global_step=38, grad_norm=5.35, lr=3.7e-5]
Steps:   1%|          | 39/5000 [00:39<1:13:27,  1.13it/s, loss=7.98, global_step=38, grad_norm=5.35, lr=3.7e-5]
Steps:   1%|          | 39/5000 [00:40<1:13:27,  1.13it/s, loss=8.28, global_step=39, grad_norm=5.05, lr=3.8e-5]
Steps:   1%|          | 40/5000 [00:40<1:13:08,  1.13it/s, loss=8.28, global_step=39, grad_norm=5.05, lr=3.8e-5]
Steps:   1%|          | 40/5000 [00:41<1:13:08,  1.13it/s, loss=8.13, global_step=40, grad_norm=5.2, lr=3.9e-5, val_loss=7.73, val_perpl=2.28e+3]
Steps:   1%|          | 41/5000 [00:41<1:19:37,  1.04it/s, loss=8.13, global_step=40, grad_norm=5.2, lr=3.9e-5, val_loss=7.73, val_perpl=2.28e+3]
Steps:   1%|          | 41/5000 [00:42<1:19:37,  1.04it/s, loss=7.79, global_step=41, grad_norm=5.2, lr=4e-5]                                    
Steps:   1%|          | 42/5000 [00:42<1:18:09,  1.06it/s, loss=7.79, global_step=41, grad_norm=5.2, lr=4e-5]
Steps:   1%|          | 42/5000 [00:42<1:18:09,  1.06it/s, loss=7.78, global_step=42, grad_norm=5.44, lr=4.1e-5]
Steps:   1%|          | 43/5000 [00:42<1:16:12,  1.08it/s, loss=7.78, global_step=42, grad_norm=5.44, lr=4.1e-5]
Steps:   1%|          | 43/5000 [00:43<1:16:12,  1.08it/s, loss=7.54, global_step=43, grad_norm=5.8, lr=4.2e-5] 
Steps:   1%|          | 44/5000 [00:43<1:14:43,  1.11it/s, loss=7.54, global_step=43, grad_norm=5.8, lr=4.2e-5]
Steps:   1%|          | 44/5000 [00:44<1:14:43,  1.11it/s, loss=7.25, global_step=44, grad_norm=6.57, lr=4.3e-5]
